"subj" "expt" "item" "cond" "pos" "word" "region" "rt" "dist.SR" "dist.OR" "RCType" "dist" "int" "lrt"
"4796" 12 "RC1" 16 "c" "5" "खोला_था," "RCVerb" 938 0 1 1 1 1 6.84374994900622
"4834" 12 "RC1" 15 "b" "3" "खरीदी_थी" "RCVerb" 500 -1 0 -1 -1 1 6.21460809842219
"4963" 12 "RC1" 22 "a" "4" "पकड़ी_थी," "RCVerb" 1532 1 0 -1 1 -1 7.33432935030054
"4980" 12 "RC1" 9 "d" "4" "काटा_था" "RCVerb" 687 0 -1 1 -1 -1 6.53233429222235
"4999" 12 "RC1" 2 "a" "4" "खायी_थी," "RCVerb" 703 1 0 -1 1 -1 6.55535689181067
"5013" 12 "RC1" 11 "b" "3" "बनायी_थी" "RCVerb" 1485 -1 0 -1 -1 1 7.3031700512368
"5047" 12 "RC1" 14 "a" "4" "खरीदी_थी," "RCVerb" 719 1 0 -1 1 -1 6.57786135772105
"5132" 13 "RC1" 9 "a" "5" "काटी_थी," "RCVerb" 797 1 0 -1 1 -1 6.68085467879022
"5176" 13 "RC1" 6 "b" "3" "गायी_थी" "RCVerb" 938 -1 0 -1 -1 1 6.84374994900622
"5246" 13 "RC1" 18 "b" "3" "खरीदी_थी" "RCVerb" 594 -1 0 -1 -1 1 6.38687931936265
"5271" 13 "RC1" 21 "a" "5" "उठायीं_थीं," "RCVerb" 547 1 0 -1 1 -1 6.30444880242198
"5308" 13 "RC1" 3 "c" "4" "चुना_था," "RCVerb" 469 0 1 1 1 1 6.15060276844628
"5398" 13 "RC1" 14 "b" "3" "खरीदी_थी" "RCVerb" 1094 -1 0 -1 -1 1 6.99759598298193
"5464" 13 "RC1" 15 "c" "4" "खरीदा_था," "RCVerb" 734 0 1 1 1 1 6.59850902861452
"5513" 13 "RC1" 24 "d" "4" "बेचा_था" "RCVerb" 531 0 -1 1 -1 -1 6.27476202124194
"5667" 13 "RC1" 4 "d" "3" "खाया_था" "RCVerb" 532 0 -1 1 -1 -1 6.27664348934164
"5689" 13 "RC1" 12 "d" "5" "दिखाया_था" "RCVerb" 438 0 -1 1 -1 -1 6.08221891037645
"5731" 13 "RC1" 13 "a" "4" "सुलझाई_थी," "RCVerb" 594 1 0 -1 1 -1 6.38687931936265
"5767" 13 "RC1" 16 "d" "4" "खोला_था" "RCVerb" 1297 0 -1 1 -1 -1 7.16780918431644
"5831" 13 "RC1" 10 "b" "3" "मांगी_थी" "RCVerb" 469 -1 0 -1 -1 1 6.15060276844628
"5859" 13 "RC1" 20 "d" "3" "बनाया_था" "RCVerb" 469 0 -1 1 -1 -1 6.15060276844628
"5970" 13 "RC1" 17 "a" "4" "पहनी_हुई_थी," "RCVerb" 907 1 0 -1 1 -1 6.81014245011514
"5987" 13 "RC1" 8 "d" "3" "रखा_था" "RCVerb" 1765 0 -1 1 -1 -1 7.4759059693674
"6085" 13 "RC1" 5 "a" "4" "खरीदी_थी," "RCVerb" 531 1 0 -1 1 -1 6.27476202124194
"6103" 13 "RC1" 23 "c" "4" "उठा_लिया_था," "RCVerb" 546 0 1 1 1 1 6.30261897574491
"6118" 13 "RC1" 11 "c" "4" "बनाया_था," "RCVerb" 563 0 1 1 1 1 6.33327962813969
"6132" 13 "RC1" 2 "b" "3" "खायी_थी" "RCVerb" 640 -1 0 -1 -1 1 6.46146817635372
"6176" 13 "RC1" 7 "c" "4" "साफ_किया_था," "RCVerb" 609 0 1 1 1 1 6.4118182677099
"6240" 13 "RC1" 1 "a" "4" "पढ़ी_थी," "RCVerb" 563 1 0 -1 1 -1 6.33327962813969
"6258" 13 "RC1" 19 "c" "4" "फेका_था," "RCVerb" 562 0 1 1 1 1 6.33150184989369
"6314" 13 "RC1" 22 "b" "3" "पकड़ी_थी" "RCVerb" 625 -1 0 -1 -1 1 6.4377516497364
"6392" 14 "RC1" 3 "d" "3" "चुना_था" "RCVerb" 2406 0 -1 1 -1 -1 7.78572089653462
"6488" 14 "RC1" 23 "d" "3" "उठा_लिया_था" "RCVerb" 875 0 -1 1 -1 -1 6.77422388635761
"6545" 14 "RC1" 6 "c" "4" "गाया_था," "RCVerb" 890 0 1 1 1 1 6.79122146272619
"6562" 14 "RC1" 5 "b" "3" "खरीदी_थी" "RCVerb" 734 -1 0 -1 -1 1 6.59850902861452
"6654" 14 "RC1" 1 "b" "3" "पढ़ी_थी" "RCVerb" 1828 -1 0 -1 -1 1 7.5109777520141
"6687" 14 "RC1" 16 "a" "5" "खोली_थी," "RCVerb" 2031 1 0 -1 1 -1 7.61628356158038
"6703" 14 "RC1" 11 "d" "3" "बनाया_था" "RCVerb" 2594 0 -1 1 -1 -1 7.86095636487639
"6719" 14 "RC1" 8 "a" "4" "रखी_थी," "RCVerb" 1141 1 0 -1 1 -1 7.03966034986208
"6752" 14 "RC1" 18 "c" "4" "खरीदा_था," "RCVerb" 781 0 1 1 1 1 6.66057514983969
"6777" 14 "RC1" 15 "d" "3" "खरीदा_था" "RCVerb" 735 0 -1 1 -1 -1 6.59987049921284
"6822" 14 "RC1" 21 "b" "4" "उठायीं_थीं" "RCVerb" 2187 -1 0 -1 -1 1 7.69028602067677
"6975" 14 "RC1" 20 "a" "4" "बनायी_थी," "RCVerb" 391 1 0 -1 1 -1 5.96870755998537
"7088" 14 "RC1" 17 "b" "3" "पहनी_हुई_थी" "RCVerb" 1656 -1 0 -1 -1 1 7.4121603349452
"7106" 14 "RC1" 24 "a" "5" "बेचीं_थीं," "RCVerb" 735 1 0 -1 1 -1 6.59987049921284
"7151" 14 "RC1" 9 "b" "4" "काटी_थी" "RCVerb" 1843 -1 0 -1 -1 1 7.51914995766982
"7184" 14 "RC1" 10 "c" "4" "मांगा_था," "RCVerb" 968 0 1 1 1 1 6.87523208727658
"7293" 14 "RC1" 4 "a" "4" "खायी_थी," "RCVerb" 1047 1 0 -1 1 -1 6.95368421087054
"7347" 14 "RC1" 22 "c" "4" "पकड़ा_था," "RCVerb" 859 0 1 1 1 1 6.75576892198425
"7370" 14 "RC1" 19 "d" "3" "फेका_था" "RCVerb" 1297 0 -1 1 -1 -1 7.16780918431644
"7422" 14 "RC1" 13 "b" "3" "सुलझाई_थी" "RCVerb" 1188 -1 0 -1 -1 1 7.08002649992259
"7460" 14 "RC1" 7 "d" "3" "साफ_किया_था" "RCVerb" 766 0 -1 1 -1 -1 6.64118216974059
"7507" 14 "RC1" 14 "c" "4" "खरीदा_था," "RCVerb" 1235 0 1 1 1 1 7.11882624906208
"7523" 14 "RC1" 12 "a" "6" "दिखायी_थी," "RCVerb" 875 1 0 -1 1 -1 6.77422388635761
"7555" 14 "RC1" 2 "c" "4" "खाया_था," "RCVerb" 969 0 1 1 1 1 6.87626461189077
"7704" 15 "RC1" 17 "c" "4" "पहना_हुआ_था," "RCVerb" 812 0 1 1 1 1 6.69950034016168
"7734" 15 "RC1" 7 "a" "4" "साफ_की_थी," "RCVerb" 360 1 0 -1 1 -1 5.88610403145016
"7801" 15 "RC1" 15 "a" "4" "खरीदी_थी," "RCVerb" 906 1 0 -1 1 -1 6.80903930604298
"7837" 15 "RC1" 13 "c" "4" "सुलझाया_था," "RCVerb" 766 0 1 1 1 1 6.64118216974059
"7876" 15 "RC1" 1 "c" "4" "पढ़ा_था," "RCVerb" 594 0 1 1 1 1 6.38687931936265
"7940" 15 "RC1" 11 "a" "4" "बनायी_थी," "RCVerb" 718 1 0 -1 1 -1 6.57646956904822
"7965" 15 "RC1" 5 "c" "4" "खरीदा_था," "RCVerb" 672 0 1 1 1 1 6.51025834052315
"7993" 15 "RC1" 16 "b" "4" "खोली_थी" "RCVerb" 296 -1 0 -1 -1 1 5.69035945432406
"8041" 15 "RC1" 6 "d" "3" "गाया_था" "RCVerb" 1656 0 -1 1 -1 -1 7.4121603349452
"8102" 15 "RC1" 22 "d" "3" "पकड़ा_था" "RCVerb" 484 0 -1 1 -1 -1 6.18208490671663
"8153" 15 "RC1" 21 "c" "5" "उठाया_था," "RCVerb" 469 0 1 1 1 1 6.15060276844628
"8176" 15 "RC1" 4 "b" "3" "खायी_थी" "RCVerb" 484 -1 0 -1 -1 1 6.18208490671663
"8369" 15 "RC1" 23 "a" "4" "उठा_ली_थी," "RCVerb" 422 1 0 -1 1 -1 6.04500531403601
"8436" 15 "RC1" 14 "d" "3" "खरीदा_था" "RCVerb" 281 0 -1 1 -1 -1 5.63835466933375
"8467" 15 "RC1" 9 "c" "5" "काटा_था," "RCVerb" 438 0 1 1 1 1 6.08221891037645
"8498" 15 "RC1" 18 "d" "3" "खरीदा_था" "RCVerb" 656 0 -1 1 -1 -1 6.48616078894409
"8537" 15 "RC1" 12 "b" "5" "दिखायी_थी" "RCVerb" 359 -1 0 -1 -1 1 5.88332238848828
